ID,class,wordnet,Chinese
0,企鹅,n00000000,企鹅
1,冬枣,n00000001,冬枣
2,冬瓜,n00000002,冬瓜
3,刺猬,n00000003,刺猬
4,北极熊,n00000004,北极熊
5,南瓜,n00000005,南瓜
6,卷心菜,n00000006,卷心菜
7,土豆,n00000007,土豆
8,大蒜,n00000008,大蒜
9,大象,n00000009,大象
10,山楂,n00000010,山楂
11,山竹,n00000011,山竹
12,山羊,n00000012,山羊
13,山药,n00000013,山药
14,无花果,n00000014,无花果
15,木瓜,n00000015,木瓜
16,木耳,n00000016,木耳
17,李子,n00000017,李子
18,杏鲍菇,n00000018,杏鲍菇
19,杨梅,n00000019,杨梅
20,柚子,n00000020,柚子
21,柠檬,n00000021,柠檬
22,树莓,n00000022,树莓
23,桂圆,n00000023,桂圆
24,桃子,n00000024,桃子
25,桑葚,n00000025,桑葚
26,梨,n00000026,梨
27,棕熊,n00000027,棕熊
28,椰子,n00000028,椰子
29,榴莲,n00000029,榴莲
30,樱桃,n00000030,樱桃
31,沙糖桔,n00000031,沙糖桔
32,油麦菜,n00000032,油麦菜
33,洋葱,n00000033,洋葱
34,海带,n00000034,海带
35,海星,n00000035,海星
36,海豚,n00000036,海豚
37,海龟,n00000037,海龟
38,火龙果,n00000038,火龙果
39,熊猫,n00000039,熊猫
40,牛,n00000040,牛
41,犀牛,n00000041,犀牛
42,狐狸,n00000042,狐狸
43,狗,n00000043,狗
44,狮子,n00000044,狮子
45,猕猴桃,n00000045,猕猴桃
46,猪,n00000046,猪
47,猫,n00000047,猫
48,猴子,n00000048,猴子
49,玉米,n00000049,玉米
50,甘蓝,n00000050,甘蓝
51,生姜,n00000051,生姜
52,白菜,n00000052,白菜
53,白萝卜,n00000053,白萝卜
54,石榴,n00000054,石榴
55,紫菜,n00000055,紫菜
56,红萝卜,n00000056,红萝卜
57,红薯,n00000057,红薯
58,绵羊,n00000058,绵羊
59,老虎,n00000059,老虎
60,芒果,n00000060,芒果
61,苦瓜,n00000061,苦瓜
62,苹果,n00000062,苹果
63,茄子,n00000063,茄子
64,草原陆龟,n00000064,草原陆龟
65,草莓,n00000065,草莓
66,荔枝,n00000066,荔枝
67,莲菜,n00000067,莲菜
68,莲雾,n00000068,莲雾
69,菜花,n00000069,菜花
70,菠萝,n00000070,菠萝
71,葡萄,n00000071,葡萄
72,葱,n00000072,葱
73,蓝莓,n00000073,蓝莓
74,蚂蚁,n00000074,蚂蚁
75,蛇,n00000075,蛇
76,蜜蜂,n00000076,蜜蜂
77,蜥蜴,n00000077,蜥蜴
78,蝴蝶,n00000078,蝴蝶
79,袋鼠,n00000079,袋鼠
80,西兰花,n00000080,西兰花
81,西瓜,n00000081,西瓜
82,西红柿,n00000082,西红柿
83,西葫芦,n00000083,西葫芦
84,豌豆,n00000084,豌豆
85,豹子,n00000085,豹子
86,车厘子,n00000086,车厘子
87,辣椒,n00000087,辣椒
88,金针菇,n00000088,金针菇
89,长颈鹿,n00000089,长颈鹿
90,青提,n00000090,青提
91,青菜,n00000091,青菜
92,青蛙,n00000092,青蛙
93,韭菜,n00000093,韭菜
94,香菇,n00000094,香菇
95,香蕉,n00000095,香蕉
96,马,n00000096,马
97,鸟,n00000097,鸟
98,鸭子,n00000098,鸭子
99,鹅,n00000099,鹅
100,黄瓜,n00000100,黄瓜
